"BMI","GEO","UNIT","TIME","QUANTILE","SEX","AGE","Value","Flag and Footnotes"
"Underweight","Poland","Percentage","2019","Second quintile","Females","Total","3.0",""
"Normal","Poland","Percentage","2019","Second quintile","Females","Total","42.1",""
"Obese","Poland","Percentage","2019","Second quintile","Females","Total","19.6",""
"Underweight","Portugal","Percentage","2019","Second quintile","Females","Total","1.7",""
"Normal","Portugal","Percentage","2019","Second quintile","Females","Total","40.8",""
"Obese","Portugal","Percentage","2019","Second quintile","Females","Total","22.8",""
"Underweight","Romania","Percentage","2019","Second quintile","Females","Total","1.3",""
"Normal","Romania","Percentage","2019","Second quintile","Females","Total","45.6",""
"Obese","Romania","Percentage","2019","Second quintile","Females","Total","13.1",""
"Underweight","Slovenia","Percentage","2019","Second quintile","Females","Total","2.5",""
"Normal","Slovenia","Percentage","2019","Second quintile","Females","Total","41.6",""
"Obese","Slovenia","Percentage","2019","Second quintile","Females","Total","20.8",""
"Underweight","Slovakia","Percentage","2019","Second quintile","Females","Total","3.8",""
"Normal","Slovakia","Percentage","2019","Second quintile","Females","Total","43.7",""
"Obese","Slovakia","Percentage","2019","Second quintile","Females","Total","18.9",""
"Underweight","Finland","Percentage","2019","Second quintile","Females","Total","2.1",""
"Normal","Finland","Percentage","2019","Second quintile","Females","Total","42.2",""
"Obese","Finland","Percentage","2019","Second quintile","Females","Total","20.0",""
"Underweight","Sweden","Percentage","2019","Second quintile","Females","Total","4.1",""
"Normal","Sweden","Percentage","2019","Second quintile","Females","Total","47.4",""
"Obese","Sweden","Percentage","2019","Second quintile","Females","Total","18.7",""
"Underweight","Iceland","Percentage","2019","Second quintile","Females","Total",":",""
"Normal","Iceland","Percentage","2019","Second quintile","Females","Total",":",""
"Obese","Iceland","Percentage","2019","Second quintile","Females","Total",":",""
"Underweight","Norway","Percentage","2019","Second quintile","Females","Total","2.4",""
"Normal","Norway","Percentage","2019","Second quintile","Females","Total","53.7",""
"Obese","Norway","Percentage","2019","Second quintile","Females","Total","12.4",""
"Underweight","United Kingdom","Percentage","2019","Second quintile","Females","Total",":",""
"Normal","United Kingdom","Percentage","2019","Second quintile","Females","Total",":",""
"Obese","United Kingdom","Percentage","2019","Second quintile","Females","Total",":",""
"Underweight","Serbia","Percentage","2019","Second quintile","Females","Total","3.4",""
"Normal","Serbia","Percentage","2019","Second quintile","Females","Total","50.8",""
"Obese","Serbia","Percentage","2019","Second quintile","Females","Total","15.8",""
"Underweight","Turkey","Percentage","2019","Second quintile","Females","Total","4.3",""
"Normal","Turkey","Percentage","2019","Second quintile","Females","Total","36.3",""
"Obese","Turkey","Percentage","2019","Second quintile","Females","Total","27.5",""
